1.1 0.354674309,1.2 0.086248725,1.3 0.923192406,
2.1 0.318634411,2.2 0.091846069,2.3 0.883791134,
3.1 0.282594514,3.2 0.097443412,3.3 0.844389862,
4.1 0.25424421,4.2 0.102140038,4.3 0.846222927,
5.1 0.225893907,5.2 0.106836663,5.3 0.848055992,
6.1 0.214925707,6.2 0.106914519,6.3 0.813868309,
7.1 0.203957507,7.2 0.106992374,7.3 0.779680626,
8.1 0.185810702,8.2 0.098657273,8.3 0.748160407,
9.1 0.167663897,9.2 0.090322172,9.3 0.716640188,
10.1 0.145636411,10.2 0.087045836,10.3 0.702258859,
11.1 0.123608925,11.2 0.0837695,11.3 0.68787753,
12.1 0.118744572,12.2 0.075635441,12.3 0.659389107,
13.1 0.113880219,13.2 0.067501383,13.3 0.630900683,
14.1 0.130192748,14.2 0.075373312,14.3 0.597032709,
15.1 0.146505277,15.2 0.083245241,15.3 0.563164735,
16.1 0.190840978,16.2 0.125146605,16.3 0.576333307,
17.1 0.235176678,17.2 0.167047969,17.3 0.589501879,
18.1 0.312723195,18.2 0.21562668,18.3 0.621222204,
19.1 0.390269711,19.2 0.26420539,19.3 0.652942529,
20.1 0.47794189,20.2 0.305839061,20.3 0.649772213,
21.1 0.565614069,21.2 0.347472732,21.3 0.646601898,
22.1 0.64002258,22.2 0.413595203,22.3 0.650245141,
23.1 0.714431091,23.2 0.479717675,23.3 0.653888384,
24.1 0.762820866,24.2 0.52887104,24.3 0.690372855,
25.1 0.811210641,25.2 0.578024405,25.3 0.726857325,
26.1 0.844439643,26.2 0.62197175,26.3 0.735073874,
27.1 0.877668644,27.2 0.665919095,27.3 0.743290423,
28.1 0.903662235,28.2 0.709730662,28.3 0.741237925,
29.1 0.929655826,29.2 0.753542229,29.3 0.739185427,
30.1 0.923823275,30.2 0.797130018,30.3 0.754200761,
31.1 0.917990723,31.2 0.840717808,31.3 0.769216094,
32.1 0.90562569,32.2 0.855828273,32.3 0.742536687,
33.1 0.893260658,33.2 0.870938737,33.3 0.715857281,
34.1 0.875587882,34.2 0.843878548,34.3 0.658098893,
35.1 0.857915107,35.2 0.816818359,35.3 0.600340506,
36.1 0.822153244,36.2 0.797633413,36.3 0.541040939,
37.1 0.786391381,37.2 0.778448466,37.3 0.481741372,
38.1 0.739045953,38.2 0.779015084,38.3 0.421615824,
39.1 0.691700526,39.2 0.779581702,39.3 0.361490276,
40.1 0.641371997,40.2 0.754616093,40.3 0.305766209,
41.1 0.591043468,41.2 0.729650483,41.3 0.250042141,
42.1 0.541011028,42.2 0.743940745,42.3 0.225461984,
43.1 0.490978588,43.2 0.758231006,43.3 0.200881826,
44.1 0.440488378,44.2 0.772004342,44.3 0.167503346,
45.1 0.389998167,45.2 0.785777679,45.3 0.134124867,
46.1 0.361089001,46.2 0.803653719,46.3 0.120841812,
47.1 0.332179834,47.2 0.821529758,47.3 0.107558758,
48.1 0.302628665,48.2 0.832776704,48.3 0.078117686,
49.1 0.273077495,49.2 0.844023649,49.3 0.048676615,
